p1_name,p2_name,y_true,y_pred_catboost,abs_error,consistency_confidence,neighbor_target_std,mean_neighbor_distance,local_mean_target
bastian böhm,andreas kotala,23.0,7.0,16.0,0.06626408161088697,14.09113196304683,2.4815864267131476,-19.2
matěj volf,anant gupta,5.0,5.0,0.0,0.08132714847673264,11.29601699715435,6.219759676510632,-3.0
roger schweizer,sarah amanda prasse,34.0,28.0,6.0,0.08939534120861692,10.186265262597475,1.904334735049319,28.8
marc gähwiler,michael breitfeld,-13.0,-17.0,4.0,0.04808860109163288,19.794948850653796,1.2816353134588323,7.4
sandro renz,céline chan,43.0,36.0,7.0,0.08939534120861692,10.186265262597475,1.904334735049319,28.8
sylvain ternon,michał kurek,14.0,21.0,7.0,0.06478334593102637,14.436065946094871,9.108004447649279,13.0
carola von heimburg,esther dübendorfer,-2.0,-13.0,11.0,0.042412660717572395,22.577865266672138,2.629668052591387,11.2
patrick oettl,noah mamié,-18.0,-21.0,3.0,0.04339942767229124,22.041778512633684,2.248519191083289,-5.6
bertrand carlier,andre damde,15.0,19.0,4.0,0.06136076626943499,15.297058540778355,3.0842802534400207,14.0
marek otavka,raphael paglia,-43.0,-27.0,16.0,0.12203393024905396,7.19444229944198,3.827944774750711,-28.8
thomas cavé,nicolas lenggenhager,-31.0,-8.0,23.0,0.04457781071513679,21.432685319390103,5.76586693699541,-26.2
thomas knaack,swapnil narwankar,42.0,50.0,8.0,0.06604088253131131,14.142135623730951,5.048999692189911,37.0
bastian böhm,yannic andrey,-5.0,-10.0,5.0,0.035168811025453134,27.434285119171594,2.980206141738653,-13.6
oliver bodem,giovanni gentile,-37.0,-32.0,5.0,0.08132714847673264,11.29601699715435,9.047306690049803,-35.0
holly ranson,kirsten i. kaptein,20.0,9.0,11.0,0.11420364725940037,7.756287771866126,3.407369946619402,7.8
graham king,dariusz adam walczak,12.0,8.0,4.0,0.05728688637724007,16.45600194457937,2.888515113919973,13.0
istván sági,rakesh gupta,-34.0,-17.0,17.0,0.07314632269469619,12.671227249165726,5.45431812363749,-35.8
anna-klara ahlmer,pauline cavé,11.0,-9.0,20.0,0.13237339950594793,6.554387843269576,1.6865152990402315,5.2
diana vuchinger,susan rutschmann,-47.0,-24.0,23.0,0.0656134117697439,14.24078649513432,3.3724676510910987,21.0
carola von heimburg,emilie roux,24.0,23.0,1.0,0.038663133349543265,24.864432428672085,2.379183599202681,13.6
fabienne blanc,victoria t,-27.0,-6.0,21.0,0.05263157894736842,18.0,2.79840008084251,1.0
nicole furler,heike voigt,-40.0,-27.0,13.0,0.05600030373133346,16.85704600456438,2.393406874686298,-8.2
roger schweizer,sandro renz,31.0,21.0,10.0,0.06025958278981976,15.594870951694341,0.9445221425802599,-9.0
sarah amanda prasse,céline chan,-12.0,-12.0,0.0,0.050972892594547056,18.618270596379247,1.1353468925581782,6.6
roland pichler,anant gupta,-14.0,-15.0,1.0,0.04826717913921088,19.71801207018598,2.638689303512347,1.0
marc gähwiler,rafael werner,-9.0,-10.0,1.0,0.03355704697986577,28.8,1.2461180088205421,28.4
raphael paglia,matěj volf,-30.0,-3.0,27.0,0.05588902071677782,16.89260193102294,2.6782238352073264,16.2
leonhard prager,andreas kotala,4.0,17.0,13.0,0.07338396423965966,12.626955294131678,2.544537701743951,6.4
bertrand carlier,bruno scherrer,-11.0,-5.0,6.0,0.05432407667061037,17.408044117591153,2.7836538842120286,14.6
magnus ekstrand,flavio wolf,8.0,14.0,6.0,0.04841914026181392,19.652989594461197,3.5967840718413635,15.6
tobias vogelsang,thomas nussbächer,-14.0,-22.0,8.0,0.04431683930414285,21.564786110694442,1.141738859034908,9.4
beat ladner,armand maxime,-13.0,-8.0,5.0,0.04759638833562649,20.00999750124922,3.5126250464835103,-12.0
kevin gros,leonardo wang,49.0,42.0,7.0,0.04984546884841089,19.06200409191017,2.0913609363311307,9.2
riccardo raimo,heiko reinhardt,2.0,-3.0,5.0,0.08544620049496056,10.703270528207723,3.5166203623351597,-3.2
dariusz adam walczak,thomas lauféron,-32.0,-37.0,5.0,0.11536532534727208,7.6681158050723255,2.428398845933917,-4.0
marek otavka,florian prorok,-9.0,-11.0,2.0,0.05679097508958432,16.608431593621358,2.049889371702974,2.6
